edge_id,edge_node_a,edge_node_b,attempt,data,ok
"Beijing, China-Qingdao, China","Beijing, China","Qingdao, China",1,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.625, ""success_probability"": 0.9999999999999994, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Beijing, China-Qingdao, China","Beijing, China","Qingdao, China",2,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.8999999999999999, ""success_probability"": 0.6249999999999998, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Dalian, China-Qingdao, China","Dalian, China","Qingdao, China",1,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.625, ""success_probability"": 0.9999999999999994, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Dalian, China-Qingdao, China","Dalian, China","Qingdao, China",2,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.8999999999999999, ""success_probability"": 0.6249999999999998, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Hsinchu, Taiwan-Ningbo, China","Hsinchu, Taiwan","Ningbo, China",1,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.625, ""success_probability"": 0.9999999999999994, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Hsinchu, Taiwan-Ningbo, China","Hsinchu, Taiwan","Ningbo, China",2,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.8999999999999999, ""success_probability"": 0.6249999999999998, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Ningbo, China-Taichung, Taiwan","Ningbo, China","Taichung, Taiwan",1,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.625, ""success_probability"": 0.9999999999999994, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Ningbo, China-Taichung, Taiwan","Ningbo, China","Taichung, Taiwan",2,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.8999999999999999, ""success_probability"": 0.6249999999999998, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Ningbo, China-Taipei, Taiwan","Ningbo, China","Taipei, Taiwan",1,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.625, ""success_probability"": 0.9999999999999994, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Ningbo, China-Taipei, Taiwan","Ningbo, China","Taipei, Taiwan",2,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.8999999999999999, ""success_probability"": 0.6249999999999998, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Qingdao, China-Tianjin, China","Qingdao, China","Tianjin, China",1,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.625, ""success_probability"": 0.9999999999999994, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
"Qingdao, China-Tianjin, China","Qingdao, China","Tianjin, China",2,"{""success"": false, ""is_valid"": false, ""fidelity"": 0.8999999999999999, ""success_probability"": 0.6249999999999998, ""threshold"": 0.9, ""remaining_budget"": 40, ""is_active"": true, ""score"": 48, ""reward_changes"": []}",True
